dataset,map4,morgan
Coagulation,0.5413961264821421,0.5632199229346778
Estrogen,0.7371126923432513,0.8001832702500207
Estrogen,0.7353397789016842,0.7681333128905397
Estrogen,0.7747976403984925,0.8222223968777876
Estrogen,0.6475820602456377,0.7155275692592935
Estrogen,0.7411646302402346,0.7821179931332551
Estrogen,0.6616398890642916,0.7550317385600358
Estrogen,0.7507118085703408,0.7616505138813308
Estrogen,0.7096944192613135,0.7454809919095041
Estrogen,0.7438228246585268,0.7860297366072133
Estrogen,0.7061506769657013,0.7827241295153144
Dopamine,0.5002695932821762,0.5872235738410934
Dopamine,0.1707684191074541,0.5380801741740642
Dopamine,0.4012092248934896,0.5550184523436963
Dopamine,0.31865465320492936,0.3579610299575261
Dopamine,0.422519912221206,0.529462722648155
Dopamine,0.498435813114465,0.5344542890547215
Dopamine,0.3314179451211955,0.4648196244352847
Dopamine,0.2847319873721971,0.5514591394243216
Dopamine,0.4381546467122922,0.4660770340650477
Dopamine,0.4150348531263955,0.467375273656592
